sample_id,grid_id,state,date,latitude,longitude,label,sample_type,rain_1d_mm,rain_3d_mm,rain_7d_mm,rain_14d_mm,rain_30d_mm,rain_max_1h_mm,rain_max_24h_mm,soil_moisture_surface,soil_moisture_root,soil_moisture_7d_mean,elevation_m,slope_degrees,aspect_degrees,ndvi,ndmi,month_sin,month_cos,aspect_sin,aspect_cos,sensor_soil_moisture,sensor_observed,soil_moisture_best,first_ingested_at,last_updated_at
S0000000,ARU_26.82550_95.36366,Arunachal Pradesh,2015-01-01,26.825497329448186,95.36365693297202,0,background_control,0.0,0.0,0.0,0.0,2.63,,1.23,0.76,0.73,0.7628571428571427,593.5164184570312,23.230277215468472,220.8919951950919,,,0.49999999999999994,0.8660254037844387,-0.6546352068871827,-0.7559449357617098,,0,0.76,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000001,ARU_26.94504_92.27211,Arunachal Pradesh,2015-01-01,26.945037056773057,92.27210612350862,0,background_control,0.0,0.0,0.0,0.0,1.1900000000000002,,0.94,0.71,0.68,0.7171428571428571,503.1544494628906,9.372192845927497,176.36285392169566,,,0.49999999999999994,0.8660254037844387,0.06343754834439624,-0.9979858102498514,,0,0.71,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000002,ARU_27.56784_96.45341,Arunachal Pradesh,2015-01-01,27.567844874071163,96.45340528813233,0,background_control,0.0,0.0,0.0,0.0,5.659999999999999,,4.73,0.63,0.61,0.6414285714285715,750.3697509765625,8.563392401144776,175.63810157009618,,,0.49999999999999994,0.8660254037844387,0.07605597327733102,-0.9971035497524006,,0,0.63,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000003,ARU_27.66209_91.79024,Arunachal Pradesh,2015-01-01,27.66208933085052,91.79023991217363,0,background_control,0.0,0.0,0.0,0.0,0.44999999999999996,,0.22,0.71,0.68,0.71,3996.913818359375,31.71876832594138,258.0526027052089,,,0.49999999999999994,0.8660254037844387,-0.9783380701992794,-0.20701357539724252,,0,0.71,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000004,ARU_27.66668_94.36008,Arunachal Pradesh,2015-01-01,27.666676186984134,94.36008060632957,0,background_control,0.0,0.0,0.0,0.0,4.159999999999999,,3.02,0.62,0.61,0.6257142857142857,658.5995483398438,23.439107805984364,252.08896199666452,,,0.49999999999999994,0.8660254037844387,-0.9515351741220844,-0.3075399362821916,,0,0.62,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000005,ARU_27.85186_97.09765,Arunachal Pradesh,2015-01-01,27.85186130388809,97.09764501143306,0,background_control,0.0,0.0,0.0,0.01,5.46,,4.34,0.72,0.71,0.7285714285714285,2935.28125,39.16718187531672,109.87485566441615,,,0.49999999999999994,0.8660254037844387,0.9404374125174781,-0.3399668706468774,,0,0.72,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000006,ARU_28.18175_97.17837,Arunachal Pradesh,2015-01-01,28.181746389964097,97.17836655063724,0,background_control,0.0,0.0,0.0,0.01,5.46,,4.34,0.72,0.71,0.7285714285714285,3597.5185546875,41.73443823588825,94.88967271560017,,,0.49999999999999994,0.8660254037844387,0.9963606759892221,-0.08523733537775807,,0,0.72,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000007,ARU_28.38554_94.50000,Arunachal Pradesh,2015-01-01,28.385541906054343,94.5,0,background_control,0.0,0.0,0.0,0.0,1.61,,0.89,0.71,0.69,0.7185714285714285,2571.06005859375,33.50270484757691,197.68469668095713,,,0.49999999999999994,0.8660254037844387,-0.30377860058142053,-0.9527426524664432,,0,0.71,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000008,ARU_28.38885_93.61436,Arunachal Pradesh,2015-01-01,28.388853336410442,93.6143576142602,0,background_control,0.0,0.0,0.0,0.0,1.6400000000000001,,1.11,0.74,0.71,0.7400000000000001,2263.673095703125,44.335634400985626,94.65876655992014,,,0.49999999999999994,0.8660254037844387,0.9966960965380269,-0.08122124811808906,,0,0.74,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000009,ARU_28.50000_95.50000,Arunachal Pradesh,2015-01-01,28.5,95.5,0,background_control,0.0,0.0,0.0,0.03,1.62,,0.88,0.73,0.7,0.7357142857142858,1945.0687255859375,22.30035558642129,192.05447252374321,,,0.49999999999999994,0.8660254037844387,-0.20884154598556554,-0.977949491881027,,0,0.73,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000010,ARU_28.50248_96.18120,Arunachal Pradesh,2015-01-01,28.5024777373024,96.18119952560983,0,background_control,0.0,0.0,0.0,0.02,3.57,,2.92,0.74,0.72,0.7442857142857144,3595.891845703125,33.282056154681776,242.51605776417458,,,0.49999999999999994,0.8660254037844387,-0.8871402084021902,-0.4615000006891858,,0,0.74,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000011,ARU_29.17276_94.58305,Arunachal Pradesh,2015-01-01,29.172760687559027,94.58304979180528,0,background_control,0.0,0.0,0.0,0.0,0.77,,0.39,0.72,0.7,0.7271428571428571,4518.39306640625,30.95279690728611,244.2802584546583,,,0.49999999999999994,0.8660254037844387,-0.9009275484469703,-0.4339695294019292,,0,0.72,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000012,ARU_29.20107_95.77035,Arunachal Pradesh,2015-01-01,29.201074058536896,95.77034724921077,0,background_control,0.0,0.0,0.0,0.0,1.05,,0.78,0.71,0.69,0.7142857142857143,3738.98681640625,25.877082395764386,221.59010434502326,,,0.49999999999999994,0.8660254037844387,-0.6637970492255678,-0.747912747210147,,0,0.71,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000013,ASS_24.56804_92.61609,Assam,2015-01-01,24.568035832146656,92.61608841266094,0,background_control,0.03,0.04,0.04,0.04,2.6199999999999997,,2.46,0.62,0.6,0.6314285714285715,30.9625301361084,3.1655292646440945,126.56893992689083,,,0.49999999999999994,0.8660254037844387,0.8031405710397711,-0.595789579591579,,0,0.62,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000014,ASS_25.49948_92.79431,Assam,2015-01-01,25.49947994245666,92.79431479834253,0,background_control,0.0,0.0,0.0,0.0,0.34,,0.19,0.75,0.74,0.75,379.4676513671875,12.606557732945088,343.6262629510372,,,0.49999999999999994,0.8660254037844387,-0.2819017016859154,0.9594432920118756,,0,0.75,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
S0000015,ASS_25.86133_91.33825,Assam,2015-01-01,25.861326240364143,91.33824656205246,0,background_control,0.0,0.0,0.0,0.0,0.03,,0.02,0.7,0.67,0.702857142857143,125.00724792480469,15.047435499894785,48.002259560034986,,,0.49999999999999994,0.8660254037844387,0.7431712132441382,0.6691012986127255,,0,0.7,2026-09-10 15:01:22.035342+00:00,2026-09-10 15:02:14.575286+00:00
